"fmcg_category","platform_name","product_name","frequency"
"baby-mother-care","Digikala","پوشک استخری مای‌بیبی مدل مخصوص شنا سایز 5-4 بسته 10 عددی","27"
"baby-mother-care","Digikala","مایع لباسشویی کودک پرسیل مدل Intense Clean حجم 2.7 کیلوگرم","26"
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","26"
"baby-mother-care","Okala","شانسی جایزه دار مدل مستر لپ 2 لپ لپ","29"
"baby-mother-care","Okala","خمیردندان ضدپوسیدگی کودک با طعم توت‌فرنگی کلگیت 50 گرمی","29"
"baby-mother-care","Okala","تخم مرغ شانسی مدل تخم مرغی طرح پسر لپ لپ","29"
"baby-mother-care","Snapp!","شامپو سر کودک زرد فیروز","34"
"baby-mother-care","Snapp!","شامپو بدن کودک صورتی فیروز","33"
"baby-mother-care","Snapp!","قاشق سیلیکونی ۲۸۶ بیبی لند","28"
"beverages","Digikala","چای سیاه با طعم هل احمد - 500 گرم","46"
"beverages","Digikala","چای معطر Extra Special احمد - 500 گرم","28"
"beverages","Digikala","شربت موهیتو سن ایچ - 1950 گرم","27"
"beverages","Okala","کافی میت کاراملی نستله 425 گرمی","29"
"beverages","Okala","پودر قهوه اسپرسو استارباکس- 55 گرم","29"
"beverages","Okala","چای 500گرمی گلد(باروتی) دو غزال","29"
"beverages","Snapp!","گلاب ربیع","130"
"beverages","Snapp!","شربت آلبالو سن ایچ","84"
"beverages","Snapp!","شربت پرتقال سن ایچ","81"
"breakfast","Digikala","عسل کنار شیگوار - 1 کیلوگرم","28"
"breakfast","Digikala","عسل سی گل پارس خمین - 800 گرم","28"
"breakfast","Digikala","عسل طبیعی آذرکندو - 1 کیلوگرم","27"
"breakfast","Okala","موسلی گرانولا فندق و شکلات نوتلا بلژیکی چاربان 380 گرمی","29"
"breakfast","Okala","موسلی گردو، سیب و دارچین چاربان- 370 گرم","29"
"breakfast","Okala","ارده حرارت‌ دیده شیررضا 700 گرمی","29"
"breakfast","Snapp!","عسل چهل گیاه آبشن","90"
"breakfast","Snapp!","حلوا ارده شکری عقاب","87"
"breakfast","Snapp!","کرم کاکائو فندقی فرمند","72"
"canned-food","Digikala","لوبیا پلو با گوشت چرخ کرده هانی - 350 گرم","38"
"canned-food","Digikala","خورشت فسنجان با گوشت کوفته ای هانی 220 گرم","37"
"canned-food","Digikala","خوراک کباب کوبیده کباب لقمه زعفرانی دو نفره هانی - 360 گرم","36"
"canned-food","Okala","کمپوت چند میوه کاستا","29"
"canned-food","Okala","مایه مرصع پلو 370 گرمی چیکا","29"
"canned-food","Okala","کمپوت آناناس حلقه دونی 850 گرمی","29"
"canned-food","Snapp!","خورش قورمه سبزی با گوشت چیکا","43"
"canned-food","Snapp!","کنسرو ماهی تون در روغن لادن طلایی","34"
"canned-food","Snapp!","کنسرو ذرت شیرین هانی","34"
"condiment","Digikala","زعفران گلستان - 4.608 گرم","52"
"condiment","Digikala","زعفران نگین سحرخیز طرح آذین مقدار 4 گرم","27"
"condiment","Digikala","زعفران گلستان - 4 گرم","26"
"condiment","Okala","زیتون بدون هسته مغزدار فيرال تك 400 گرمی","29"
"condiment","Okala","اسپری کف خامه سفید 250 گرمی مای دی","29"
"condiment","Okala","دانه فلفل سیاه کیچن رز 150 گرمی","29"
"condiment","Snapp!","سرکه قرمز وردا","92"
"condiment","Snapp!","جوش شیرین گلها","78"
"condiment","Snapp!","خیارشور خاردار گل باز","56"
"cosmetics-hygiene","Digikala","پوشینه بزرگسال هانی لایف مدل 002 سایز بزرگ بسته 14 عددی","27"
"cosmetics-hygiene","Digikala","پوشینه بزرگسال هانی لایف مدل 001 سایز متوسط بسته 16 عددی","27"
"cosmetics-hygiene","Digikala","پوشینه چسبی بزرگسال ایزی لایف سایز بزرگ بسته 14 عددی","26"
"cosmetics-hygiene","Okala","ماسک مو دیلمون مدل Macadamia حجم 400 میلی لیتر","27"
"cosmetics-hygiene","Okala","ماسک مو آدرا مدل Hyaluronic Acid حجم 400 میلی لیتر","27"
"cosmetics-hygiene","Okala","شامپو ضدشوره مو کلییر مدل Nourishing حجم 610 میلی لیتر","27"
"cosmetics-hygiene","Snapp!","اسپری براق کننده مو کاسپین","52"
"cosmetics-hygiene","Snapp!","پوشک کامل بزرگسال کوچک ایزی لایف","44"
"cosmetics-hygiene","Snapp!","کاندوم کلاسیک Zero Three ۰.۰۳ کدکس","31"
"dairy","Digikala","پنیر پیتزا پروسس شده 202 - 1000 گرم","27"
"dairy","Digikala","پنیر پیتزا مخلوط مطهر - 2 کیلوگرم","26"
"dairy","Digikala","پنیر پیتزا مطهر - 2 کیلوگرم","26"
"dairy","Okala","پنير تاپينگ پيتزا کم چرب بی تو بی کاله 500 گرمی","29"
"dairy","Okala","بستنی با تکه های میوه فوردو 750 گرمی","28"
"dairy","Okala","پنیر پیتزا رنده شده 500 گرمی مطهر","28"
"dairy","Snapp!","کشک مایع سمیه","119"
"dairy","Snapp!","ماست همزده پرچرب سون کاله","83"
"dairy","Snapp!","ماست همزده کم چرب پروبیوتیک سون کاله","79"
"digital-appliances","Snapp!","هدفون بلوتوثی AirPods Max خاکستری اپل","45"
"digital-appliances","Snapp!","کنسول بازی PlayStation ۵ Slim Digital Edition سفید سونی","33"
"digital-appliances","Snapp!","ماشین ظرفشویی BBT-DW۱۵۲۱ST استیل بلانتون","28"
"fashion","Snapp!","زیرپوش رکابی مردانه سفید ۰۱ سایز XL برهان تن پوش","27"
"fashion","Snapp!","ساعت مچی EFB-۷۳۰D-۱A کاسیو","27"
"fashion","Snapp!","زیرپوش رکابی مردانه سفید ۰۱ سایز L برهان تن پوش","27"
"frozen-food","Digikala","شنیسل مرغ فرمینگ مارین - 1 کیلوگرم","29"
"frozen-food","Digikala","سیب زمینی نیمه آماده داناک - 2.5 کیلوگرم","28"
"frozen-food","Digikala","فیله مرغ سوخاری پک فود - 1000 گرم","27"
"fruits-and-vegetables","Digikala","تمبرهندی ملس fresh وزن 400 گرم","24"
"fruits-and-vegetables","Digikala","موز لوکوما - 1 کيلوگرم","24"
"fruits-and-vegetables","Digikala","سیر خشک Fresh مقدار 500 گرم","22"
"fruits-and-vegetables","Okala","قارچ دکمه ای دزفول (200 گرم)","15"
"fruits-and-vegetables","Okala","نعنا موهیتو شایلو 100 گرمی","14"
"fruits-and-vegetables","Okala","بيبي اسفناج ميلسانو 100 گرمی","12"
"fruits-and-vegetables","Snapp!","جوانه ماش توتیا","32"
"fruits-and-vegetables","Snapp!","قارچ سماروغ","30"
"fruits-and-vegetables","Snapp!","گوجه چری پک پلاس","27"
"gold","Snapp!","شمش طلا ۲۴ عیار برج آزادی طلای محمد","146"
"gold","Snapp!","انگشتر طلا رینگ سین سان","125"
"gold","Snapp!","شمش طلا ۱۸ عیار ونوس","96"
"groceries","Okala","بلغور گندم سیپا- 500 گرم","29"
"groceries","Okala","جو دوسر عسل گرانولا (410 گرم)","29"
"groceries","Okala","لوبیا چیتی آذوقه 900 گرمی","29"
"groceries","Snapp!","رب گوجه فرنگی روژین","84"
"groceries","Snapp!","نبات چوبی مخلوط سبزدانه","81"
"groceries","Snapp!","روغن زیتون با بو هایپراستار","67"
"home-hygiene","Okala","خوشبوکننده هوا لمسر مدل Jasmine حجم 120 میلی لیتر","28"
"home-hygiene","Okala","دستمال کاغذی دو لایه فول تایم اقتصادی 250 برگی بسته 8 عددی","26"
"home-hygiene","Okala","قرص جرم گیر ماشین لباسشویی کالگون (15 عدد)","26"
"home-hygiene","Snapp!","دستمال حوله ای ۴ لایه هایپراستار","104"
"home-hygiene","Snapp!","دستمال توالت ۴ لایه هایپراستار","70"
"home-hygiene","Snapp!","دستمال توالت ویسل ۴ لایه","66"
"home-stuff","Okala","چوبین عود سینامون گره","29"
"home-stuff","Okala","دستکش آشپزخانه اسپانتکس مدل Hausputz سایز لارج","29"
"home-stuff","Okala","طي ماکاروني با دسته استیل کابان باف","29"
"junk-food","Digikala","پسته شور خشکپاک مقدار 450 گرم","26"
"junk-food","Digikala","نی طعم دهنده شیر با طعم توت فرنگی مای میلک - 35 گرم بسته 24 عددی","26"
"junk-food","Digikala","شکلات تلخ 96 درصد پارمیدا - 1 کیلوگرم","26"
"junk-food","Okala","پسته خام احمدآقايي اكبر راستگو - 220 گرم","54"
"junk-food","Okala","جعبه کمک های اولیه خودرو کیتوتک","29"
"junk-food","Okala","شکلات گالاردو مدادی شیری بانکه 30 عددی فرمند","29"
"junk-food","Snapp!","پاپ کورن پنیری چی توز","85"
"junk-food","Snapp!","آلبالو ترش خشکپاک","81"
"junk-food","Snapp!","لواشک آلبالو خشکپاک","80"
"nuts","Digikala","آجیل مخلوط هیرشا - 450 گرم","27"
"nuts","Digikala","برگه انبه تواضع - 200 گرم","27"
"nuts","Digikala","خرما پیارم مروارید سیاه - 700 گرم","26"
"nuts","Okala","ميوه خشك مخلوط اكبر راستگو- 250 گرم","44"
"nuts","Okala","آجيل معجون راستگو 250 گرمی","22"
"nuts","Okala","آجيل شيرين راستگو 280 گرمی","22"
"nuts","Snapp!","رطب مضافتی مروارید سیاه","128"
"nuts","Snapp!","خرما کبکاب مروارید سیاه","96"
"nuts","Snapp!","کشمش پلویی خشکپاک","84"
"proteins","Digikala","میگو سایز 40-36 بیستون - 500 گرم","23"
"proteins","Digikala","گوشت ران گوساله داخلی پویا پروتئین - 1 کیلوگرم","22"
"proteins","Digikala","میگو سایز 50-41 بیستون - 500 گرم","22"
"proteins","Okala","کالباس گیاهی آژیل 300 گرمی","29"
"proteins","Okala","فرانکفورتر پرمیوم 80درصد 400 گرمی 202","28"
"proteins","Okala","سوسیس هات داگ گیاهی آژیل 300 گرمی","27"
"proteins","Snapp!","تخم مرغ پرطلایی","123"
"proteins","Snapp!","تخم مرغ تلاونگ","79"
"proteins","Snapp!","تخم مرغ زرایکس پرایکس","74"
